Microsoft Windows [Versione 10.0.17134.345]
(c) 2018 Microsoft Corporation. Tutti i diritti sono riservati.

C:\Users\Andi>CD c:\Users\Andi\Documents\iperf-3.1.3-win64

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
iperf3: interrupt - the client has terminated

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
Connecting to host 192.168.2.140, port 5201
[  4] local 192.168.2.236 port 55020 connected to 192.168.2.140 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  5]  36.00-37.00  sec  11.5 MBytes  11.6 MBytes/sec  0.725 ms  0/1478 (0%)
[  5]  37.00-38.00  sec  11.3 MBytes  11.3 MBytes/sec  0.803 ms  0/1451 (0%)
[  5]  38.00-39.00  sec  11.5 MBytes  11.6 MBytes/sec  0.688 ms  0/1477 (0%)
[  5]  39.00-40.00  sec  11.4 MBytes  11.4 MBytes/sec  0.840 ms  0/1461 (0%)
[  5]  40.00-41.00  sec  11.4 MBytes  11.5 MBytes/sec  0.242 ms  0/1465 (0%)
[  5]  41.00-42.00  sec  11.3 MBytes  11.3 MBytes/sec  0.885 ms  0/1446 (0%)
[  5]  42.00-43.00  sec  11.3 MBytes  11.3 MBytes/sec  1.123 ms  0/1450 (0%)
[  5]  43.00-44.00  sec  11.0 MBytes  11.0 MBytes/sec  0.628 ms  0/1405 (0%)
[  5]  44.00-45.00  sec  11.4 MBytes  11.4 MBytes/sec  0.480 ms  0/1464 (0%)
[  5]  45.00-46.00  sec  11.4 MBytes  11.4 MBytes/sec  0.598 ms  0/1465 (0%)
[  5]  46.00-47.00  sec  11.2 MBytes  11.2 MBytes/sec  0.686 ms  0/1438 (0%)
[  5]  47.00-48.00  sec  11.3 MBytes  11.3 MBytes/sec  0.805 ms  0/1446 (0%)
[  5]  48.00-49.00  sec  11.7 MBytes  11.7 MBytes/sec  0.696 ms  0/1501 (0%)
[  5]  49.00-50.00  sec  11.4 MBytes  11.5 MBytes/sec  0.478 ms  0/1464 (0%)
[  5]  50.00-51.00  sec  11.4 MBytes  11.4 MBytes/sec  0.634 ms  0/1458 (0%)
[  5]  51.00-52.00  sec  11.4 MBytes  11.4 MBytes/sec  0.793 ms  0/1459 (0%)
[  5]  52.00-53.00  sec  11.4 MBytes  11.4 MBytes/sec  0.785 ms  0/1464 (0%)
[  5]  53.00-54.00  sec  11.5 MBytes  11.5 MBytes/sec  0.276 ms  0/1469 (0%)
[  5]  54.00-55.00  sec  11.4 MBytes  11.4 MBytes/sec  0.708 ms  0/1457 (0%)
[  5]  55.00-56.00  sec  11.4 MBytes  11.4 MBytes/sec  0.678 ms  0/1464 (0%)
[  5]  56.00-57.00  sec  11.4 MBytes  11.4 MBytes/sec  0.762 ms  0/1455 (0%)
[  5]  57.00-58.00  sec  11.3 MBytes  11.3 MBytes/sec  0.748 ms  0/1448 (0%)
[  5]  58.00-59.00  sec  11.6 MBytes  11.6 MBytes/sec  0.571 ms  0/1486 (0%)
[  5]  59.00-60.00  sec  11.4 MBytes  11.4 MBytes/sec  0.494 ms  0/1463 (0%)
[  5]  60.00-61.00  sec  11.4 MBytes  11.5 MBytes/sec  0.429 ms  0/1462 (0%)
[  5]  61.00-62.00  sec  11.4 MBytes  11.4 MBytes/sec  0.758 ms  0/1459 (0%)
